,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place
110,Chelsea FC,2014/2015,26,3,9,73,36,37,32,9,23,41,87,1
190,Manchester City FC,2014/2015,24,7,7,83,44,39,38,14,24,45,79,2
60,Arsenal FC,2014/2015,22,7,9,71,41,30,36,14,22,35,75,3
0,Manchester United FC,2014/2015,20,8,10,62,41,21,37,15,22,25,70,4
160,Tottenham Hotspur FC,2014/2015,19,12,7,58,31,27,53,24,29,5,64,5
70,Liverpool FC,2014/2015,18,12,8,52,30,22,48,20,28,4,62,6
140,Southampton FC,2014/2015,18,14,6,54,37,17,33,13,20,21,60,7
130,Swansea City AFC,2014/2015,16,14,8,46,27,19,49,22,27,-3,56,8
40,Stoke City FC,2014/2015,15,14,9,48,32,16,45,22,23,3,54,9
120,Crystal Palace FC,2014/2015,13,16,9,47,21,26,51,27,24,-4,48,10
150,Everton FC,2014/2015,12,15,11,48,27,21,50,21,29,-2,47,11
20,West Ham United FC,2014/2015,12,15,11,44,25,19,47,18,29,-3,47,12
30,West Bromwich Albion FC,2014/2015,11,16,11,38,24,14,51,26,25,-13,44,13
10,Leicester City FC,2014/2015,11,19,8,46,28,18,55,22,33,-9,41,14
80,Newcastle United FC,2014/2015,10,19,9,40,26,14,63,27,36,-23,39,15
100,Aston Villa FC,2014/2015,10,20,8,31,18,13,57,25,32,-26,38,17
180,Sunderland AFC,2014/2015,7,14,17,31,16,15,53,27,26,-22,38,16
170,Hull City,2014/2015,8,19,11,33,19,14,51,24,27,-18,35,18
90,Burnley FC,2014/2015,7,19,12,28,14,14,53,21,32,-25,33,19
50,Queens Park Rangers FC,2014/2015,8,24,6,42,23,19,73,24,49,-31,30,20
11,Leicester City FC,2015/2016,23,3,12,68,35,33,36,18,18,32,81,1
61,Arsenal FC,2015/2016,20,7,11,65,31,34,36,11,25,29,71,2
161,Tottenham Hotspur FC,2015/2016,19,6,13,69,35,34,35,15,20,34,70,3
1,Manchester United FC,2015/2016,19,10,9,49,27,22,35,9,26,14,66,5
191,Manchester City FC,2015/2016,19,10,9,71,47,24,41,21,20,30,66,4
141,Southampton FC,2015/2016,18,11,9,59,39,20,41,22,19,18,63,6
21,West Ham United FC,2015/2016,16,8,14,65,34,31,51,26,25,14,62,7
71,Liverpool FC,2015/2016,16,10,12,63,33,30,50,22,28,13,60,8
41,Stoke City FC,2015/2016,14,15,9,41,22,19,55,24,31,-14,51,9
111,Chelsea FC,2015/2016,12,12,14,59,32,27,53,30,23,6,50,10
151,Everton FC,2015/2016,11,13,14,59,35,24,55,30,25,4,47,11
131,Swansea City AFC,2015/2016,12,15,11,42,20,22,52,20,32,-10,47,12
221,Watford FC,2015/2016,12,17,9,40,20,20,50,19,31,-10,45,13
31,West Bromwich Albion FC,2015/2016,10,15,13,34,20,14,48,26,22,-14,43,14
121,Crystal Palace FC,2015/2016,11,18,9,39,19,20,51,23,28,-12,42,15
201,AFC Bournemouth,2015/2016,11,18,9,45,23,22,67,34,33,-22,42,16
181,Sunderland AFC,2015/2016,9,17,12,48,23,25,62,20,42,-14,39,17
81,Newcastle United FC,2015/2016,9,19,10,44,32,12,65,24,41,-21,37,18
211,Norwich City FC,2015/2016,9,22,7,39,26,13,67,30,37,-28,34,19
101,Aston Villa FC,2015/2016,3,27,8,27,14,13,76,35,41,-49,17,20
112,Chelsea FC,2016/2017,30,5,3,85,55,30,33,17,16,52,93,1
162,Tottenham Hotspur FC,2016/2017,26,4,8,86,47,39,26,9,17,60,86,2
192,Manchester City FC,2016/2017,23,6,9,80,37,43,39,17,22,41,78,3
72,Liverpool FC,2016/2017,22,6,10,78,45,33,42,18,24,36,76,4
62,Arsenal FC,2016/2017,23,9,6,77,39,38,44,16,28,33,75,5
2,Manchester United FC,2016/2017,18,5,15,54,26,28,29,12,17,25,69,6
152,Everton FC,2016/2017,17,11,10,62,42,20,44,16,28,18,61,7
202,AFC Bournemouth,2016/2017,12,16,10,55,35,20,67,29,38,-12,46,9
142,Southampton FC,2016/2017,12,16,10,41,17,24,48,21,27,-7,46,8
22,West Ham United FC,2016/2017,12,17,9,47,19,28,64,31,33,-17,45,11
32,West Bromwich Albion FC,2016/2017,12,17,9,43,27,16,51,22,29,-8,45,10
12,Leicester City FC,2016/2017,12,18,8,48,31,17,63,25,38,-15,44,12
42,Stoke City FC,2016/2017,11,16,11,41,24,17,56,24,32,-15,44,13
122,Crystal Palace FC,2016/2017,12,21,5,50,24,26,63,25,38,-13,41,14
132,Swansea City AFC,2016/2017,12,21,5,45,27,18,70,34,36,-25,41,15
222,Watford FC,2016/2017,11,20,7,40,25,15,68,29,39,-28,40,17
92,Burnley FC,2016/2017,11,20,7,39,26,13,55,20,35,-16,40,16
172,Hull City,2016/2017,9,22,7,37,28,9,80,35,45,-43,34,18
232,Middlesbrough FC,2016/2017,5,20,13,27,17,10,53,23,30,-26,28,19
182,Sunderland AFC,2016/2017,6,26,6,29,16,13,69,34,35,-40,24,20
193,Manchester City FC,2017/2018,32,2,4,106,61,45,27,14,13,79,100,1
3,Manchester United FC,2017/2018,25,7,6,68,38,30,28,9,19,40,81,2
163,Tottenham Hotspur FC,2017/2018,23,7,8,74,40,34,36,16,20,38,77,3
73,Liverpool FC,2017/2018,21,5,12,84,45,39,38,10,28,46,75,4
113,Chelsea FC,2017/2018,21,10,7,62,30,32,38,16,22,24,70,5
63,Arsenal FC,2017/2018,19,13,6,74,54,20,51,20,31,23,63,6
93,Burnley FC,2017/2018,14,12,12,36,16,20,39,17,22,-3,54,7
153,Everton FC,2017/2018,13,15,10,44,28,16,58,22,36,-14,49,8
13,Leicester City FC,2017/2018,12,15,11,56,25,31,60,22,38,-4,47,9
123,Crystal Palace FC,2017/2018,11,16,11,45,29,16,55,27,28,-10,44,10
203,AFC Bournemouth,2017/2018,11,16,11,45,26,19,61,30,31,-16,44,12
83,Newcastle United FC,2017/2018,12,18,8,39,21,18,47,17,30,-8,44,11
23,West Ham United FC,2017/2018,10,16,12,48,24,24,68,26,42,-20,42,13
223,Watford FC,2017/2018,11,19,8,44,27,17,64,31,33,-20,41,14
243,Brighton & Hove Albion FC,2017/2018,9,16,13,34,24,10,54,25,29,-20,40,15
253,Huddersfield Town AFC,2017/2018,9,19,10,28,16,12,58,25,33,-30,37,16
143,Southampton FC,2017/2018,7,16,15,37,20,17,56,26,30,-19,36,17
43,Stoke City FC,2017/2018,7,19,12,35,20,15,68,30,38,-33,33,19
133,Swansea City AFC,2017/2018,8,21,9,28,17,11,56,24,32,-28,33,18
33,West Bromwich Albion FC,2017/2018,6,19,13,31,21,10,56,29,27,-25,31,20
194,Manchester City FC,2018/2019,32,4,2,95,57,38,23,12,11,72,98,1
74,Liverpool FC,2018/2019,30,1,7,89,55,34,22,10,12,67,97,2
114,Chelsea FC,2018/2019,21,8,9,63,39,24,39,12,27,24,72,3
164,Tottenham Hotspur FC,2018/2019,23,13,2,67,34,33,39,16,23,28,71,4
64,Arsenal FC,2018/2019,21,10,7,73,42,31,51,16,35,22,70,5
