Team,Season,Time,Name,Status,Position,Market Value,Age,Fee
Arsenal FC,2014/2015,SUMMER,Alexis Sánchez,In,Centre-Forward,30000000,25,42500000
Arsenal FC,2014/2015,SUMMER,Calum Chambers,In,Centre-Back,2000000,19,20230000
Arsenal FC,2014/2015,SUMMER,Danny Welbeck,In,Centre-Forward,17000000,23,20000000
Arsenal FC,2014/2015,SUMMER,Mathieu Debuchy,In,Right-Back,10000000,28,15000000
Arsenal FC,2014/2015,SUMMER,David Ospina,In,Goalkeeper,5000000,25,4000000
Arsenal FC,2014/2015,SUMMER,Emiliano Martínez,In,Goalkeeper,1000000,22,4000
Arsenal FC,2014/2015,SUMMER,Héctor Bellerín,In,Right-Back,500000,19,0
Arsenal FC,2014/2015,SUMMER,Wellington Silva,In,Right Winger,1500000,22,31000
Arsenal FC,2014/2015,SUMMER,Wellington Silva,In,Right Winger,400000,21,30000
Arsenal FC,2014/2015,SUMMER,Joel Campbell,In,Right Winger,5000000,22,30000
Arsenal FC,2014/2015,SUMMER,Yaya Sanogo,In,Centre-Forward,1500000,22,31000
Arsenal FC,2014/2015,SUMMER,Francis Coquelin,In,Defensive Midfield,3000000,23,30000
Arsenal FC,2014/2015,SUMMER,Semi Ajayi,In,Centre-Back,0,21,31000
Arsenal FC,2014/2015,SUMMER,Johan Djourou,In,Centre-Back,3000000,27,30000
Arsenal FC,2014/2015,SUMMER,Thomas Vermaelen,Out,Centre-Back,15000000,28,19000000
Arsenal FC,2014/2015,SUMMER,Johan Djourou,Out,Centre-Back,3000000,27,2800000
Arsenal FC,2014/2015,SUMMER,Ignasi Miquel,Out,Centre-Back,400000,21,1900000
Arsenal FC,2014/2015,SUMMER,Thomas Eisfeld,Out,Central Midfield,300000,21,1500000
Arsenal FC,2014/2015,SUMMER,Nicklas Bendtner,Out,Centre-Forward,4000000,26,0
Arsenal FC,2014/2015,SUMMER,Bacary Sagna,Out,Right-Back,12000000,31,0
Arsenal FC,2014/2015,SUMMER,Lukasz Fabianski,Out,Goalkeeper,2000000,29,0
Arsenal FC,2014/2015,SUMMER,Wellington Silva,Out,Right Winger,400000,21,0
Arsenal FC,2014/2015,SUMMER,Ryo Miyaichi,Out,Right Winger,2000000,21,0
Arsenal FC,2014/2015,SUMMER,Kristoffer Olsson,Out,Central Midfield,0,19,0
Arsenal FC,2014/2015,SUMMER,Carl Jenkinson,Out,Right-Back,6000000,22,0
Arsenal FC,2014/2015,SUMMER,Chu-young Park,Out,Centre-Forward,1000000,28,0
Arsenal FC,2014/2015,SUMMER,Kim Källström,Out,Central Midfield,2500000,31,30000
Arsenal FC,2014/2015,SUMMER,Emiliano Viviano,Out,Goalkeeper,5000000,28,30000
Aston Villa FC,2014/2015,SUMMER,Carlos Sánchez,In,Defensive Midfield,4000000,28,6000000
Aston Villa FC,2014/2015,SUMMER,Aly Cissokho,In,Centre-Back,5000000,26,2500000
Aston Villa FC,2014/2015,SUMMER,Kieran Richardson,In,Left-Back,2500000,29,750000
Aston Villa FC,2014/2015,SUMMER,Joe Cole,In,Attacking Midfield,2500000,32,0
Aston Villa FC,2014/2015,SUMMER,Philippe Senderos,In,Centre-Back,2500000,29,0
Aston Villa FC,2014/2015,SUMMER,Tom Cleverley,In,Central Midfield,11000000,25,0
Aston Villa FC,2014/2015,SUMMER,Callum Robinson,In,Centre-Forward,250000,19,0
Aston Villa FC,2014/2015,SUMMER,Janoi Donacien,In,Right-Back,0,21,31000
Aston Villa FC,2014/2015,SUMMER,Graham Burke,In,Second Striker,0,21,4000
Aston Villa FC,2014/2015,SUMMER,Callum Robinson,In,Centre-Forward,250000,20,11000
Aston Villa FC,2014/2015,SUMMER,Gary Gardner,In,Central Midfield,1000000,22,4000
Aston Villa FC,2014/2015,SUMMER,Darren Bent,In,Centre-Forward,2500000,31,4000
Aston Villa FC,2014/2015,SUMMER,Enda Stevens,In,Left-Back,500000,24,4000
Aston Villa FC,2014/2015,SUMMER,Michael Drennan,In,Centre-Forward,0,20,22000
Aston Villa FC,2014/2015,SUMMER,Joe Bennett,In,Left-Back,1500000,25,4000
Aston Villa FC,2014/2015,SUMMER,Jed Steer,In,Goalkeeper,750000,22,30000
Aston Villa FC,2014/2015,SUMMER,Karim El Ahmadi,Out,Defensive Midfield,2500000,29,700000
Aston Villa FC,2014/2015,SUMMER,Jordan Bowery,Out,Centre-Forward,1000000,22,300000
Aston Villa FC,2014/2015,SUMMER,Samir Carruthers,Out,Central Midfield,250000,21,250000
Aston Villa FC,2014/2015,SUMMER,Nathan Delfouneso,Out,Centre-Forward,1500000,23,0
Aston Villa FC,2014/2015,SUMMER,Marc Albrighton,Out,Right Midfield,2500000,24,0
Aston Villa FC,2014/2015,SUMMER,Yacouba Sylla,Out,Defensive Midfield,2000000,23,0
Aston Villa FC,2014/2015,SUMMER,Jed Steer,Out,Goalkeeper,750000,22,0
Aston Villa FC,2014/2015,SUMMER,Enda Stevens,Out,Left-Back,500000,24,0
Aston Villa FC,2014/2015,SUMMER,Michael Drennan,Out,Centre-Forward,0,20,0
Aston Villa FC,2014/2015,SUMMER,Chris Herd,Out,Defensive Midfield,1000000,25,0
Aston Villa FC,2014/2015,SUMMER,Callum Robinson,Out,Centre-Forward,250000,19,0
Aston Villa FC,2014/2015,SUMMER,Gary Gardner,Out,Central Midfield,1000000,22,0
Aston Villa FC,2014/2015,SUMMER,Joe Bennett,Out,Left-Back,1500000,24,0
Aston Villa FC,2014/2015,SUMMER,Janoi Donacien,Out,Right-Back,0,20,0
Aston Villa FC,2014/2015,SUMMER,Aleksandar Tonev,Out,Left Winger,2000000,24,0
Aston Villa FC,2014/2015,SUMMER,Daniel Johnson,Out,Attacking Midfield,0,21,0
Aston Villa FC,2014/2015,SUMMER,Antonio Luna,Out,Left-Back,2000000,23,0
Aston Villa FC,2014/2015,SUMMER,Jed Steer,Out,Goalkeeper,1000000,21,0
Aston Villa FC,2014/2015,SUMMER,Nicklas Helenius,Out,Centre-Forward,1500000,23,0
Aston Villa FC,2014/2015,SUMMER,Tom Cleverley,Out,Central Midfield,9000000,25,31000
Burnley FC,2014/2015,SUMMER,George Boyd,In,Left Winger,1500000,28,3800000
Burnley FC,2014/2015,SUMMER,Lukas Jutkiewicz,In,Centre-Forward,800000,25,3100000
Burnley FC,2014/2015,SUMMER,Michael Kightly,In,Left Winger,2700000,28,1900000
Burnley FC,2014/2015,SUMMER,Stephen Ward,In,Left-Back,2000000,28,630000
Burnley FC,2014/2015,SUMMER,Marvin Sordell,In,Centre-Forward,1800000,23,630000
Burnley FC,2014/2015,SUMMER,Matthew Taylor,In,Left Midfield,1500000,32,0
Burnley FC,2014/2015,SUMMER,Matt Gilks,In,Goalkeeper,700000,32,0
Burnley FC,2014/2015,SUMMER,Steven Reid,In,Right-Back,1000000,33,0
Burnley FC,2014/2015,SUMMER,Michael Keane,In,Centre-Back,500000,21,0
Burnley FC,2014/2015,SUMMER,Nathaniel Chalobah,In,Defensive Midfield,4000000,19,0
Burnley FC,2014/2015,SUMMER,Luke Conlan,In,Left-Back,0,19,0
Burnley FC,2014/2015,SUMMER,Alex Whitmore,In,Centre-Back,0,18,0
Burnley FC,2014/2015,SUMMER,Callum Richardson,In,Right-Back,0,18,0
Burnley FC,2014/2015,SUMMER,Jadan Hall,In,Left Winger,0,20,28000
Burnley FC,2014/2015,SUMMER,Tom Anderson,In,Centre-Back,0,21,19000
Burnley FC,2014/2015,SUMMER,Alex Cisak,In,Goalkeeper,250000,26,31000
Burnley FC,2014/2015,SUMMER,Luke O'Neill,In,Right-Back,250000,23,31000
Burnley FC,2014/2015,SUMMER,Steven Hewitt,In,Central Midfield,250000,21,31000
Burnley FC,2014/2015,SUMMER,David Edgar,Out,Centre-Back,800000,27,0
Burnley FC,2014/2015,SUMMER,Luke Gallagher,Out,Centre-Back,0,20,0
Burnley FC,2014/2015,SUMMER,Chris Baird,Out,Defensive Midfield,700000,32,0
Burnley FC,2014/2015,SUMMER,Kyle Brownhill,Out,Left-Back,0,19,0
Burnley FC,2014/2015,SUMMER,Junior Stanislas,Out,Left Winger,1000000,24,0
Burnley FC,2014/2015,SUMMER,Joseph Mills,Out,Left-Back,350000,24,0
Burnley FC,2014/2015,SUMMER,Keith Treacy,Out,Left Midfield,700000,25,0
Burnley FC,2014/2015,SUMMER,Brian Stock,Out,Central Midfield,250000,32,0
Burnley FC,2014/2015,SUMMER,Nick Liversedge,Out,Goalkeeper,25000,26,0
Burnley FC,2014/2015,SUMMER,Micah Evans,Out,Centre-Forward,0,21,0
Burnley FC,2014/2015,SUMMER,Alex Cisak,Out,Goalkeeper,250000,25,0
Burnley FC,2014/2015,SUMMER,Luke O'Neill,Out,Right-Back,250000,22,0
Burnley FC,2014/2015,SUMMER,Tom Anderson,Out,Centre-Back,0,21,0
Burnley FC,2014/2015,SUMMER,Jadan Hall,Out,Left Winger,0,20,0
Burnley FC,2014/2015,SUMMER,Archie Love,Out,Central Midfield,0,20,0
