,Team,Season,Time,Name,Status,Position,Market Value,Age,Fee,is_loan,is_loan_return
0,AFC Bournemouth,2015/2016,SUMMER,Tyrone Mings,In,Centre-Back,6000000.0,22,11300000.0,0,0
1,AFC Bournemouth,2015/2016,SUMMER,Max Gradel,In,Left Winger,6500000.0,27,10000000.0,0,0
2,AFC Bournemouth,2015/2016,SUMMER,Glenn Murray,In,Centre-Forward,2500000.0,31,5400000.0,0,0
3,AFC Bournemouth,2015/2016,SUMMER,Lee Tomlin,In,Second Striker,1750000.0,26,4300000.0,0,0
4,AFC Bournemouth,2015/2016,SUMMER,Artur Boruc,In,Goalkeeper,1000000.0,35,0.0,0,0
5,AFC Bournemouth,2015/2016,SUMMER,Sylvain Distin,In,Centre-Back,750000.0,37,0.0,0,0
6,AFC Bournemouth,2015/2016,SUMMER,Joshua King,In,Centre-Forward,1000000.0,23,0.0,0,0
7,AFC Bournemouth,2015/2016,SUMMER,Adam Federici,In,Goalkeeper,1000000.0,30,0.0,0,0
8,AFC Bournemouth,2015/2016,SUMMER,Jordan Green,In,Right Winger,0.0,20,0.0,0,0
9,AFC Bournemouth,2015/2016,SUMMER,Christian Atsu,In,Left Winger,5000000.0,23,0.0,1,0
10,AFC Bournemouth,2015/2016,SUMMER,Joe Bennett,In,Left-Back,1500000.0,25,0.0,1,0
11,AFC Bournemouth,2015/2016,SUMMER,Tomás Andrade,In,Attacking Midfield,0.0,18,0.0,1,0
12,AFC Bournemouth,2015/2016,SUMMER,Matt Butcher,In,Defensive Midfield,0.0,18,0.0,0,0
13,AFC Bournemouth,2015/2016,SUMMER,Brandon Goodship,In,Centre-Forward,0.0,20,0.0,0,0
14,AFC Bournemouth,2015/2016,SUMMER,Matt Butcher,In,Defensive Midfield,0.0,19,0.0,0,1
15,AFC Bournemouth,2015/2016,SUMMER,Ryan Allsop,In,Goalkeeper,250000.0,23,0.0,0,1
16,AFC Bournemouth,2015/2016,SUMMER,Josh Wakefield,In,Central Midfield,100000.0,22,0.0,0,1
17,AFC Bournemouth,2015/2016,SUMMER,Harry Cornick,In,Centre-Forward,0.0,21,0.0,0,1
18,AFC Bournemouth,2015/2016,SUMMER,Brandon Goodship,In,Centre-Forward,0.0,21,0.0,0,1
19,AFC Bournemouth,2015/2016,SUMMER,Baily Cargill,In,Centre-Back,250000.0,20,0.0,0,1
20,AFC Bournemouth,2015/2016,SUMMER,Ryan Allsop,In,Goalkeeper,250000.0,23,0.0,0,1
21,AFC Bournemouth,2015/2016,SUMMER,Lee Tomlin,In,Second Striker,3500000.0,27,0.0,0,1
22,AFC Bournemouth,2015/2016,SUMMER,Jayden Stockley,In,Centre-Forward,250000.0,22,0.0,0,1
23,AFC Bournemouth,2015/2016,SUMMER,Josh O'Hanlon,In,Centre-Forward,0.0,20,0.0,0,1
24,AFC Bournemouth,2015/2016,SUMMER,Josh Wakefield,In,Central Midfield,100000.0,21,0.0,0,1
25,AFC Bournemouth,2015/2016,SUMMER,Stéphane Zubar,In,Centre-Back,250000.0,28,0.0,0,1
