Team,Player Count,Weekly Wages,Annual Wages,Season
Manchester United FC,43,"3,236,437","168,294,733",2014/2015
Manchester City FC,36,"2,804,729","145,845,890",2014/2015
Chelsea FC,38,"2,399,899","124,794,741",2014/2015
Arsenal FC,42,"2,171,316","112,908,446",2014/2015
Liverpool FC,35,"1,881,271","97,826,081",2014/2015
Tottenham Hotspur FC,43,"1,508,824","78,458,830",2014/2015
Everton FC,40,"1,157,132","60,170,855",2014/2015
West Ham United FC,36,"1,042,531","54,211,605",2014/2015
Queens Park Rangers FC,41,"1,034,321","53,784,669",2014/2015
Southampton FC,37,"976,000","50,751,976",2014/2015
Sunderland AFC,35,"885,846","46,064,003",2014/2015
Hull City,35,"843,854","43,880,420",2014/2015
Stoke City FC,30,"841,974","43,782,627",2014/2015
West Bromwich Albion FC,35,"813,925","42,324,121",2014/2015
Leicester City FC,37,"766,406","39,853,126",2014/2015
Aston Villa FC,38,"759,549","39,496,548",2014/2015
Newcastle United FC,42,"750,697","39,036,221",2014/2015
Crystal Palace FC,43,"727,097","37,809,069",2014/2015
Swansea City AFC,37,"688,454","35,799,598",2014/2015
Burnley FC,30,"357,334","18,581,349",2014/2015
Manchester City FC,38,"2,911,601","151,403,244",2015/2016
Manchester United FC,44,"2,856,949","148,561,362",2015/2016
Chelsea FC,40,"2,291,995","119,183,724",2015/2016
Arsenal FC,41,"2,251,883","117,097,928",2015/2016
Liverpool FC,44,"2,177,738","113,242,366",2015/2016
Everton FC,39,"1,268,774","65,976,258",2015/2016
Tottenham Hotspur FC,31,"1,244,120","64,694,251",2015/2016
Crystal Palace FC,38,"1,242,767","64,623,888",2015/2016
West Ham United FC,50,"1,223,136","63,603,053",2015/2016
Newcastle United FC,42,"1,129,611","58,739,775",2015/2016
Sunderland AFC,42,"1,062,965","55,274,182",2015/2016
Southampton FC,35,"985,769","51,260,009",2015/2016
Stoke City FC,31,"966,849","50,276,143",2015/2016
West Bromwich Albion FC,35,"952,240","49,516,478",2015/2016
Swansea City AFC,37,"931,393","48,432,439",2015/2016
Aston Villa FC,44,"853,853","44,400,378",2015/2016
Leicester City FC,35,"845,758","43,979,401",2015/2016
Norwich City FC,41,"748,931","38,944,392",2015/2016
Watford FC,39,"665,520","34,607,032",2015/2016
AFC Bournemouth,50,"606,671","31,546,915",2015/2016
Manchester United FC,45,"3,612,278","187,838,480",2016/2017
Manchester City FC,45,"3,163,989","164,527,417",2016/2017
Arsenal FC,44,"2,370,566","123,269,447",2016/2017
Chelsea FC,52,"2,261,607","117,603,578",2016/2017
Liverpool FC,39,"2,102,721","109,341,486",2016/2017
Crystal Palace FC,48,"1,656,266","86,125,830",2016/2017
Tottenham Hotspur FC,40,"1,633,217","84,927,304",2016/2017
Everton FC,43,"1,555,769","80,900,012",2016/2017
Leicester City FC,32,"1,460,915","75,967,562",2016/2017
Southampton FC,39,"1,336,406","69,493,133",2016/2017
West Ham United FC,45,"1,296,960","67,441,919",2016/2017
Stoke City FC,39,"1,187,106","61,729,533",2016/2017
Sunderland AFC,43,"1,095,371","56,959,274",2016/2017
Hull City,45,"966,551","50,260,643",2016/2017
Watford FC,47,"963,179","50,085,330",2016/2017
West Bromwich Albion FC,35,"939,374","48,847,449",2016/2017
Swansea City AFC,40,"911,119","47,378,211",2016/2017
Middlesbrough FC,37,"891,396","46,352,605",2016/2017
AFC Bournemouth,45,"817,939","42,532,819",2016/2017
Burnley FC,39,"559,909","29,115,273",2016/2017
Manchester United FC,35,"3,810,955","198,169,670",2017/2018
Arsenal FC,45,"3,629,433","188,730,521",2017/2018
Manchester City FC,32,"3,474,446","180,671,167",2017/2018
Chelsea FC,46,"2,790,189","145,089,806",2017/2018
Liverpool FC,34,"2,194,158","114,096,241",2017/2018
Everton FC,48,"1,959,476","101,892,731",2017/2018
Tottenham Hotspur FC,34,"1,841,549","95,760,561",2017/2018
West Ham United FC,41,"1,594,665","82,922,601",2017/2018
Southampton FC,29,"1,561,182","81,181,461",2017/2018
Crystal Palace FC,41,"1,560,448","81,143,294",2017/2018
Leicester City FC,34,"1,470,226","76,451,744",2017/2018
West Bromwich Albion FC,33,"1,354,341","70,425,716",2017/2018
Stoke City FC,35,"1,124,956","58,497,686",2017/2018
Swansea City AFC,37,"1,095,623","56,972,393",2017/2018
Watford FC,37,"1,065,878","55,425,638",2017/2018
AFC Bournemouth,37,"987,558","51,353,032",2017/2018
Newcastle United FC,37,"968,248","50,348,890",2017/2018
Brighton & Hove Albion FC,43,"915,271","47,594,066",2017/2018
Burnley FC,30,"746,660","38,826,329",2017/2018
Huddersfield Town AFC,36,"587,269","30,538,003",2017/2018
Chelsea FC,103,"3,612,255","187,837,283",2018/2019
Manchester United FC,86,"3,470,478","180,464,856",2018/2019
Manchester City FC,96,"3,454,103","179,613,362",2018/2019
Arsenal FC,91,"3,104,338","161,425,557",2018/2019
Liverpool FC,88,"2,923,160","152,004,295",2018/2019
Tottenham Hotspur FC,83,"2,091,713","108,769,056",2018/2019
Everton FC,90,"1,965,599","102,211,141",2018/2019
West Ham United FC,90,"1,898,815","98,738,397",2018/2019
Leicester City FC,89,"1,832,422","95,285,918",2018/2019
Crystal Palace FC,86,"1,713,188","89,085,775",2018/2019
Southampton FC,86,"1,663,043","86,478,237",2018/2019
AFC Bournemouth,82,"1,208,389","62,836,237",2018/2019
Fulham FC,82,"1,167,773","60,724,203",2018/2019
Newcastle United FC,88,"1,143,142","59,443,389",2018/2019
Watford FC,93,"1,132,891","58,910,310",2018/2019
Burnley FC,83,"1,015,125","52,786,491",2018/2019
Brighton & Hove Albion FC,93,"982,054","51,066,812",2018/2019
Wolverhampton Wanderers FC,85,"852,844","44,347,902",2018/2019
Huddersfield Town AFC,86,"805,325","41,876,908",2018/2019
Cardiff City FC,92,"756,591","39,342,710",2018/2019
Manchester United FC,86,"4,435,653","230,653,939",2020/2021
Chelsea FC,82,"3,389,911","176,275,358",2020/2021
Arsenal FC,87,"3,381,609","175,843,663",2020/2021
Manchester City FC,76,"3,157,499","164,189,924",2020/2021
Tottenham Hotspur FC,82,"3,084,064","160,371,329",2020/2021
Liverpool FC,84,"3,002,511","156,130,569",2020/2021
Everton FC,87,"2,111,596","109,803,009",2020/2021
Crystal Palace FC,87,"2,035,043","105,822,228",2020/2021
Leicester City FC,80,"1,777,976","92,454,770",2020/2021
West Ham United FC,72,"1,524,556","79,276,933",2020/2021
Aston Villa FC,79,"1,424,496","74,073,800",2020/2021
Newcastle United FC,94,"1,319,756","68,627,328",2020/2021
Southampton FC,76,"1,311,454","68,195,619",2020/2021
Fulham FC,89,"1,196,437","62,214,699",2020/2021
Brighton & Hove Albion FC,87,"1,182,907","61,511,176",2020/2021
Wolverhampton Wanderers FC,70,"1,181,414","61,433,538",2020/2021
West Bromwich Albion FC,87,"850,578","44,230,079",2020/2021
Burnley FC,74,"842,845","43,827,947",2020/2021
